arch,mask_variant,split,bin,bin_lo,bin_hi,n,n_events,mean_pred,obs_freq,obs_lo_wilson,obs_hi_wilson
efficientnet_b0,gt,external_test1,3,0.17573280000000008,0.3081522,11,1,0.23733136363636367,0.09090909090909091,0.016232172885884855,0.37735843645159567
efficientnet_b0,gt,external_test1,4,0.3081522,0.5326894000000001,10,4,0.39192820000000006,0.4,0.16818032970623614,0.6873262302663417
efficientnet_b0,gt,external_test1,5,0.5326894000000001,0.8034405,11,7,0.6769019090909091,0.6363636363636364,0.35380117450784887,0.8483352890463243
efficientnet_b0,gt,external_test1,6,0.8034405,0.9026502000000001,11,8,0.8518442727272728,0.7272727272727273,0.43435469882387084,0.902539407099751
efficientnet_b0,gt,external_test1,7,0.9026502000000001,0.9842680000000001,10,9,0.9406091999999999,0.9,0.5958499732047615,0.9821237869049271
efficientnet_b0,gt,external_test1,8,0.9842680000000001,0.9963232,11,9,0.9912072727272728,0.8181818181818182,0.523019438039156,0.9486323102539149
efficientnet_b0,gt,external_test1,9,0.9963232,0.9993584,11,11,0.9980446363636364,1.0,0.7411670330319684,1.0
efficientnet_b0,gt,external_test1,10,0.9993584,0.999994001,11,11,0.9998881818181818,1.0,0.7411670330319684,1.0
efficientnet_b0,gt,external_test2,1,0.010951999,0.1386046,10,3,0.08009879999999998,0.3,0.10779126740630099,0.6032218525388546
efficientnet_b0,gt,external_test2,2,0.1386046,0.24144900000000002,9,4,0.1997868888888889,0.4444444444444444,0.18877852109766458,0.7333487065045069
efficientnet_b0,gt,external_test2,3,0.24144900000000002,0.47205490000000006,9,3,0.340715,0.3333333333333333,0.1205838183869109,0.6457978644196036
efficientnet_b0,gt,external_test2,4,0.47205490000000006,0.8155572000000001,10,6,0.706931,0.6,0.31267376973365824,0.8318196702937638
efficientnet_b0,gt,external_test2,5,0.8155572000000001,0.92232,9,7,0.8782177777777778,0.7777777777777778,0.4525889691069889,0.9367748928821533
efficientnet_b0,gt,external_test2,6,0.92232,0.9690992000000002,9,7,0.9468062222222223,0.7777777777777778,0.4525889691069889,0.9367748928821533
efficientnet_b0,gt,external_test2,7,0.9690992000000002,0.9961542,10,10,0.9872019,1.0,0.7224672001371107,0.9999999999999999
efficientnet_b0,gt,external_test2,8,0.9961542,0.9994261999999999,9,8,0.9983935555555556,0.8888888888888888,0.565000294423344,0.980109112361455
efficientnet_b0,gt,external_test2,9,0.9994261999999999,0.9999437,9,9,0.9997338888888889,1.0,0.7008549515804559,1.0
efficientnet_b0,gt,external_test2,10,0.9999437,1.000000001,10,10,0.9999893999999999,1.0,0.7224672001371107,0.9999999999999999
efficientnet_b0,model,train,1,0.004595999,0.09421840000000001,60,12,0.04753133333333333,0.2,0.11828505322897492,0.317818058056279
efficientnet_b0,model,train,2,0.09421840000000001,0.18804340000000005,60,12,0.14160136666666664,0.2,0.11828505322897492,0.317818058056279
efficientnet_b0,model,train,3,0.18804340000000005,0.3520238,60,31,0.2796464,0.5166666666666667,0.39307810032592494,0.6382495046026722
efficientnet_b0,model,train,4,0.3520238,0.5061236,60,27,0.42413208333333324,0.45,0.3309365440675524,0.5750806411466567
efficientnet_b0,model,train,5,0.5061236,0.678733,60,29,0.5785791666666668,0.48333333333333334,0.36175049539732784,0.6069218996740751
efficientnet_b0,model,train,6,0.678733,0.8433022,60,38,0.7563613333333333,0.6333333333333333,0.5068300063010303,0.7437908331277456
efficientnet_b0,model,train,7,0.8433022,0.9498540000000002,60,39,0.8997438166666666,0.65,0.5236261884175486,0.7583222559398244
efficientnet_b0,model,train,8,0.9498540000000002,0.9942416,60,53,0.9807971333333333,0.8833333333333333,0.7782121197582914,0.9423227935994396
efficientnet_b0,model,train,9,0.9942416,0.9996891,60,53,0.9979727166666668,0.8833333333333333,0.7782121197582914,0.9423227935994396
efficientnet_b0,model,train,10,0.9996891,1.000000001,60,58,0.9999186333333333,0.9666666666666667,0.886362257256914,0.9908106807438021
efficientnet_b0,model,internal_val,1,0.006895999,0.06987700000000001,26,2,0.032350538461538465,0.07692307692307693,0.0213550884722762,0.2414155377162906
efficientnet_b0,model,internal_val,2,0.06987700000000001,0.16088880000000003,26,2,0.10640557692307692,0.07692307692307693,0.0213550884722762,0.2414155377162906
efficientnet_b0,model,internal_val,3,0.16088880000000003,0.26019440000000005,25,4,0.21680284,0.16,0.06403451456676443,0.3465362160717885
efficientnet_b0,model,internal_val,4,0.26019440000000005,0.43028340000000004,26,8,0.329954423076923,0.3076923076923077,0.16501315595463767,0.4998825832219837
efficientnet_b0,model,internal_val,5,0.43028340000000004,0.718787,26,17,0.5990995769230769,0.6538461538461539,0.46220571188810816,0.8058776967705947
efficientnet_b0,model,internal_val,6,0.718787,0.909093,25,21,0.8287150799999999,0.84,0.6534637839282114,0.9359654854332355
efficientnet_b0,model,internal_val,7,0.909093,0.9743884,26,24,0.9423054615384616,0.9230769230769231,0.7585844622837095,0.9786449115277238
efficientnet_b0,model,internal_val,8,0.9743884,0.9958926,25,25,0.9866811600000002,1.0,0.8668077490609515,0.9999999999999999
efficientnet_b0,model,internal_val,9,0.9958926,0.9993534,26,26,0.9975562307692307,1.0,0.8712710781407846,1.0
efficientnet_b0,model,internal_val,10,0.9993534,0.9999990009999999,26,26,0.9998290769230768,1.0,0.8712710781407846,1.0
efficientnet_b0,model,external_test1,1,0.014563999000000001,0.06603620000000002,11,1,0.032019181818181815,0.09090909090909091,0.016232172885884855,0.37735843645159567
efficientnet_b0,model,external_test1,2,0.06603620000000002,0.17613460000000009,11,0,0.10736063636363635,0.0,0.0,0.2588329669680317
efficientnet_b0,model,external_test1,3,0.17613460000000009,0.347118,11,3,0.25840027272727273,0.2727272727272727,0.09746059290024889,0.5656453011761291
efficientnet_b0,model,external_test1,4,0.347118,0.5603758000000001,10,2,0.4438586,0.2,0.05668215145437519,0.5098375284633583
efficientnet_b0,model,external_test1,5,0.5603758000000001,0.7327295,11,10,0.646446,0.9090909090909091,0.6226415635484043,0.9837678271141151
efficientnet_b0,model,external_test1,6,0.7327295,0.8872300000000001,11,9,0.8076424545454546,0.8181818181818182,0.523019438039156,0.9486323102539149
efficientnet_b0,model,external_test1,7,0.8872300000000001,0.9599062,10,6,0.9256994000000001,0.6,0.31267376973365824,0.8318196702937638
efficientnet_b0,model,external_test1,8,0.9599062,0.9922294,11,10,0.981134909090909,0.9090909090909091,0.6226415635484043,0.9837678271141151
efficientnet_b0,model,external_test1,9,0.9922294,0.9975395,11,10,0.9953861818181818,0.9090909090909091,0.6226415635484043,0.9837678271141151
efficientnet_b0,model,external_test1,10,0.9975395,0.999984001,11,11,0.9994859090909091,1.0,0.7411670330319684,1.0
efficientnet_b0,model,external_test2,1,0.012669999000000001,0.19844100000000003,10,2,0.1027644,0.2,0.05668215145437519,0.5098375284633583
efficientnet_b0,model,external_test2,2,0.19844100000000003,0.35057380000000005,9,4,0.2866351111111112,0.4444444444444444,0.18877852109766458,0.7333487065045069
efficientnet_b0,model,external_test2,3,0.35057380000000005,0.5598114000000002,9,5,0.43888944444444444,0.5555555555555556,0.2666512934954931,0.8112214789023354
efficientnet_b0,model,external_test2,4,0.5598114000000002,0.7195486000000001,10,6,0.6336742,0.6,0.31267376973365824,0.8318196702937638
efficientnet_b0,model,external_test2,5,0.7195486000000001,0.8970635,9,6,0.8166362222222223,0.6666666666666666,0.3542021355803963,0.879416181613089
efficientnet_b0,model,external_test2,6,0.8970635,0.9598498000000001,9,7,0.924640888888889,0.7777777777777778,0.4525889691069889,0.9367748928821533
efficientnet_b0,model,external_test2,7,0.9598498000000001,0.9905934,10,10,0.9780887,1.0,0.7224672001371107,0.9999999999999999
efficientnet_b0,model,external_test2,8,0.9905934,0.9980944,9,8,0.9965935555555556,0.8888888888888888,0.565000294423344,0.980109112361455
efficientnet_b0,model,external_test2,9,0.9980944,0.9998741,9,9,0.9990886666666666,1.0,0.7008549515804559,1.0
efficientnet_b0,model,external_test2,10,0.9998741,1.000000001,10,10,0.9999746,1.0,0.7224672001371107,0.9999999999999999
