arch,mask_variant,split,n_total,n_malignant,n_benign,prevalence,threshold_probability_pt,tp,fp,tn,fn,net_benefit_model,net_benefit_treat_all_correct,net_benefit_treat_all_WRONG_flat_at_prevalence,net_benefit_treat_none,delta_nb_model_minus_treat_all,standardised_net_benefit_model
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.36,296,88,160,56,0.41083333333333333,0.3541666666666667,0.5866666666666667,0.0,0.05666666666666664,0.7002840909090909
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.37,292,85,163,60,0.40346560846560847,0.34391534391534395,0.5866666666666667,0.0,0.05955026455026452,0.6877254689754689
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.38,290,85,163,62,0.396505376344086,0.3333333333333333,0.5866666666666667,0.0,0.06317204301075269,0.6758614369501466
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.39,287,84,164,65,0.38882513661202184,0.3224043715846994,0.5866666666666667,0.0,0.06642076502732241,0.6627701192250373
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.4,287,84,164,65,0.385,0.31111111111111106,0.5866666666666667,0.0,0.07388888888888895,0.65625
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.41,283,83,165,69,0.37553672316384185,0.29943502824858764,0.5866666666666667,0.0,0.0761016949152542,0.6401194144838214
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.42,282,83,165,70,0.36982758620689654,0.2873563218390805,0.5866666666666667,0.0,0.08247126436781604,0.6303879310344828
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.43,281,81,167,71,0.3664912280701754,0.2748538011695907,0.5866666666666667,0.0,0.09163742690058474,0.624700956937799
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.44,278,80,168,74,0.35857142857142854,0.2619047619047619,0.5866666666666667,0.0,0.09666666666666662,0.6112012987012987
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.45,277,76,172,75,0.35803030303030303,0.24848484848484853,0.5866666666666667,0.0,0.1095454545454545,0.6102789256198347
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.46,275,75,173,77,0.35185185185185186,0.2345679012345679,0.5866666666666667,0.0,0.11728395061728397,0.5997474747474748
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.47,274,73,175,78,0.34877358490566035,0.22012578616352207,0.5866666666666667,0.0,0.12864779874213828,0.5945004288164665
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.48,269,72,176,83,0.3375641025641025,0.20512820512820518,0.5866666666666667,0.0,0.13243589743589734,0.5753933566433566
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.49,268,72,176,84,0.33137254901960783,0.18954248366013077,0.5866666666666667,0.0,0.14183006535947706,0.5648395721925134
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.5,268,72,176,84,0.32666666666666666,0.17333333333333334,0.5866666666666667,0.0,0.15333333333333332,0.5568181818181818
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.51,267,71,177,85,0.3218367346938775,0.1564625850340136,0.5866666666666667,0.0,0.1653741496598639,0.5485853432282003
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.52,265,69,179,87,0.3170833333333333,0.13888888888888884,0.5866666666666667,0.0,0.17819444444444443,0.5404829545454545
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.53,262,69,179,90,0.30698581560283683,0.12056737588652477,0.5866666666666667,0.0,0.18641843971631206,0.5232712765957446
efficientnet_b0,gt,train,600,352,248,0.5866666666666667,0.54,261,68,180,91,0.30195652173913046,0.10144927536231879,0.5866666666666667,0.0,0.20050724637681167,0.5146986166007905
