arch,mask_variant,policy,threshold,split,n_total,n_malignant,n_benign,tp,fp,tn,fn,accuracy,accuracy_denom_n,accuracy_wilson_lo,accuracy_wilson_hi,sensitivity,sensitivity_denom_n,sensitivity_wilson_lo,sensitivity_wilson_hi,specificity,specificity_denom_n,specificity_wilson_lo,specificity_wilson_hi,ppv,ppv_denom_n,ppv_wilson_lo,ppv_wilson_hi,npv,npv_denom_n,npv_wilson_lo,npv_wilson_hi,youden_j,f1
efficientnet_b0,gt,max_accuracy,0.426287,external_test2,94,67,27,58,12,15,9,0.776595744680851,94,0.6824912052295027,0.848980837673047,0.8656716417910447,67,0.7639962773866296,0.927689083357045,0.5555555555555556,27,0.3731302451322448,0.72414141822977,0.8285714285714286,70,0.7238335196785457,0.8991227535947075,0.625,24,0.42709962442674276,0.7884063244045122,0.4212271973466004,0.8467153284671532
efficientnet_b0,gt,youden_J,0.505424,external_test2,94,67,27,57,7,20,10,0.8191489361702128,94,0.7293303791966494,0.8839065933832155,0.8507462686567164,67,0.7465960395409149,0.9168572656622017,0.7407407407407407,27,0.5532142868544692,0.8682962543809281,0.890625,64,0.7910135867310387,0.945998866555832,0.6666666666666666,30,0.4878005164454384,0.8076950191632386,0.5914870093974571,0.8702290076335878
efficientnet_b0,model,fixed_0.5,0.5,train,600,352,248,247,70,178,105,0.7083333333333334,600,0.6707303505563436,0.7432856073546146,0.7017045454545454,352,0.6519414710613197,0.7471126483507545,0.717741935483871,248,0.6587321027893007,0.7701091233762996,0.7791798107255521,317,0.7303262464952637,0.8213480933814866,0.6289752650176679,283,0.5713169989941356,0.6831789873954492,0.4194464809384164,0.7384155455904334
efficientnet_b0,model,max_accuracy,0.467051,train,600,352,248,269,83,165,83,0.7233333333333334,600,0.6862035019339724,0.7576216049465748,0.7642045454545454,352,0.7171547609420643,0.805549930682202,0.6653225806451613,248,0.6044670720065842,0.7211345997117419,0.7642045454545454,352,0.7171547609420643,0.805549930682202,0.6653225806451613,248,0.6044670720065842,0.7211345997117419,0.42952712609970667,0.7642045454545454
efficientnet_b0,model,youden_J,0.5,train,600,352,248,247,70,178,105,0.7083333333333334,600,0.6707303505563436,0.7432856073546146,0.7017045454545454,352,0.6519414710613197,0.7471126483507545,0.717741935483871,248,0.6587321027893007,0.7701091233762996,0.7791798107255521,317,0.7303262464952637,0.8213480933814866,0.6289752650176679,283,0.5713169989941356,0.6831789873954492,0.4194464809384164,0.7384155455904334
efficientnet_b0,model,fixed_0.5,0.5,internal_val,257,155,102,131,8,94,24,0.8754863813229572,257,0.829509168659479,0.9104038837846525,0.8451612903225807,155,0.7799410071816497,0.8936866514561712,0.9215686274509803,102,0.8528127275871086,0.95972331413254,0.9424460431654677,139,0.890543439626562,0.970551098440284,0.7966101694915254,118,0.7151769904138203,0.8593400966067339,0.7667299177735609,0.891156462585034
efficientnet_b0,model,max_accuracy,0.467051,internal_val,257,155,102,137,12,90,18,0.8832684824902723,257,0.8382500462866237,0.9169979917003913,0.8838709677419355,155,0.823906677570482,0.9252680082042908,0.8823529411764706,102,0.8055457610425986,0.931405532610106,0.9194630872483222,149,0.8645097721380501,0.9533311524676464,0.8333333333333334,108,0.7518731501613105,0.8918952766743182,0.766223908918406,0.9013157894736842
efficientnet_b0,model,youden_J,0.5,internal_val,257,155,102,131,8,94,24,0.8754863813229572,257,0.829509168659479,0.9104038837846525,0.8451612903225807,155,0.7799410071816497,0.8936866514561712,0.9215686274509803,102,0.8528127275871086,0.95972331413254,0.9424460431654677,139,0.890543439626562,0.970551098440284,0.7966101694915254,118,0.7151769904138203,0.8593400966067339,0.7667299177735609,0.891156462585034
efficientnet_b0,model,fixed_0.5,0.5,external_test1,108,62,46,53,8,38,9,0.8425925925925926,108,0.7623129098457861,0.899337973290832,0.8548387096774194,62,0.7465660628844542,0.9217058859468299,0.8260869565217391,46,0.692766462836215,0.9091420829775368,0.8688524590163934,61,0.7619811980700654,0.932019227250999,0.8085106382978723,47,0.6745599542033822,0.8958406730145774,0.6809256661991585,0.8617886178861789
efficientnet_b0,model,max_accuracy,0.467051,external_test1,108,62,46,56,10,36,6,0.8518518518518519,108,0.7728286547321882,0.9067046847054198,0.9032258064516129,62,0.8045118138769257,0.9548881279768061,0.782608695652174,46,0.6442631262842105,0.8773909467543746,0.8484848484848485,66,0.7430709513021234,0.9155636301732872,0.8571428571428571,42,0.7215891052555522,0.9328403298403735,0.6858345021037868,0.875
