arch,mask_variant,split,threshold,n_total,n_malignant,n_benign,tp,fp,tn,fn,metric,numerator,denominator,denominator_n,estimate,wilson_lo,wilson_hi,delong_lo,delong_hi,delong_logit_lo,delong_logit_hi,delong_se,boot_lo,boot_hi,whole_cohort_wilson_lo,whole_cohort_wilson_hi
efficientnet_b0,model,external_test1,0.5,108,62,46,53,8,38,9,sensitivity,53.0,malignant cases,62.0,0.8548387096774194,0.7465660628844542,0.9217058859468299,,,,,,0.7580645161290323,0.9354838709677419,0.7762379248568624,0.9090639488713875
efficientnet_b0,model,external_test1,0.5,108,62,46,53,8,38,9,specificity,38.0,benign cases,46.0,0.8260869565217391,0.692766462836215,0.9091420829775368,,,,,,0.6956521739130435,0.9347826086956522,0.7437527907341902,0.8860206703006638
efficientnet_b0,model,external_test1,0.5,108,62,46,53,8,38,9,ppv,53.0,test-positive cases,61.0,0.8688524590163934,0.7619811980700654,0.932019227250999,,,,,,0.7936507936507936,0.9464285714285714,0.7923529932504657,0.9200137085758445
efficientnet_b0,model,external_test1,0.5,108,62,46,53,8,38,9,npv,38.0,test-negative cases,47.0,0.8085106382978723,0.6745599542033822,0.8958406730145774,,,,,,0.7169811320754716,0.9090909090909091,0.7242256782202994,0.8716025466169313
efficientnet_b0,model,external_test2,0.5,94,67,27,53,7,20,14,AUC,,67 malignant vs 27 benign,,0.8518518518518519,,,0.7736991273911796,0.9300045763125241,0.755824958568356,0.9143915789141457,0.03987457171515953,0.763391376451078,0.9259259259259258,,
efficientnet_b0,model,external_test2,0.5,94,67,27,53,7,20,14,AUPRC,,67 malignant vs 27 benign,,0.9392311999749495,,,,,,,,0.898920956772011,0.9717165864840829,,
efficientnet_b0,model,external_test2,0.5,94,67,27,53,7,20,14,accuracy,73.0,all cases,94.0,0.776595744680851,0.6824912052295027,0.848980837673047,,,,,,0.6914893617021277,0.8617021276595744,0.6824912052295027,0.848980837673047
efficientnet_b0,model,external_test2,0.5,94,67,27,53,7,20,14,sensitivity,53.0,malignant cases,67.0,0.7910447761194029,0.6792819349311752,0.8712431481097087,,,,,,0.6865671641791045,0.8805970149253731,0.6982524001692579,0.8609831076610369
efficientnet_b0,model,external_test2,0.5,94,67,27,53,7,20,14,specificity,20.0,benign cases,27.0,0.7407407407407407,0.5532142868544692,0.8682962543809281,,,,,,0.5555555555555556,0.8888888888888888,0.6439424255602401,0.8186350932623495
efficientnet_b0,model,external_test2,0.5,94,67,27,53,7,20,14,ppv,53.0,test-positive cases,60.0,0.8833333333333333,0.7782121197582914,0.9423227935994396,,,,,,0.8135593220338984,0.9491525423728814,0.8029170424627923,0.9336486990470234
efficientnet_b0,model,external_test2,0.5,94,67,27,53,7,20,14,npv,20.0,test-negative cases,34.0,0.5882352941176471,0.42221593878812513,0.7363403163612884,,,,,,0.46875,0.7273601398601394,0.4871910422081759,0.6823509443286103
