arch,mask_variant,split,n_total,n_malignant,n_benign,prevalence,threshold_probability_pt,tp,fp,tn,fn,net_benefit_model,net_benefit_treat_all_correct,net_benefit_treat_all_WRONG_flat_at_prevalence,net_benefit_treat_none,delta_nb_model_minus_treat_all,standardised_net_benefit_model
efficientnet_b0,gt,internal_val,257,155,102,0.603112840466926,0.59,111,5,97,44,0.403910031318212,0.03198253772421,0.603112840466926,0.0,0.371927493594002,0.6697088906372936
efficientnet_b0,gt,internal_val,257,155,102,0.603112840466926,0.6,111,5,97,44,0.4027237354085603,0.0077821011673151474,0.603112840466926,0.0,0.3949416342412452,0.6677419354838711
efficientnet_b0,gt,internal_val,257,155,102,0.603112840466926,0.61,110,5,97,45,0.39758555322757655,-0.01765938341813833,0.603112840466926,0.0,0.4152449366457149,0.6592224979321754
efficientnet_b0,gt,internal_val,257,155,102,0.603112840466926,0.62,106,5,97,49,0.38070858079049763,-0.04443989350808941,0.603112840466926,0.0,0.42514847429858704,0.6312393887945671
efficientnet_b0,gt,internal_val,257,155,102,0.603112840466926,0.63,105,4,98,50,0.3820591019034599,-0.07266799873803775,0.603112840466926,0.0,0.45472710064149763,0.6334786399302529
efficientnet_b0,gt,internal_val,257,155,102,0.603112840466926,0.64,103,2,100,52,0.3869433635970601,-0.10246433203631666,0.603112840466926,0.0,0.48940769563337677,0.6415770609318997
efficientnet_b0,gt,internal_val,257,155,102,0.603112840466926,0.65,100,2,100,55,0.3746525847693163,-0.13396331295164,0.603112840466926,0.0,0.5086158977209563,0.6211981566820277
efficientnet_b0,gt,internal_val,257,155,102,0.603112840466926,0.66,95,2,100,60,0.3545433737697414,-0.16731517509727645,0.603112840466926,0.0,0.5218585488670178,0.5878557874762809
efficientnet_b0,gt,internal_val,257,155,102,0.603112840466926,0.67,93,2,100,62,0.3460676806980309,-0.20268836222143638,0.603112840466926,0.0,0.5487560429194673,0.5738025415444771
efficientnet_b0,gt,internal_val,257,155,102,0.603112840466926,0.68,88,1,101,67,0.3341439688715953,-0.2402723735408563,0.603112840466926,0.0,0.5744163424124515,0.5540322580645162
efficientnet_b0,gt,internal_val,257,155,102,0.603112840466926,0.69,85,1,101,70,0.3220785741182377,-0.2802811597841093,0.603112840466926,0.0,0.602359733902347,0.5340270551508844
efficientnet_b0,gt,internal_val,257,155,102,0.603112840466926,0.7,81,1,101,74,0.3060959792477302,-0.32295719844357973,0.603112840466926,0.0,0.62905317769131,0.50752688172043
efficientnet_b0,gt,internal_val,257,155,102,0.603112840466926,0.71,79,1,101,76,0.2978666308868912,-0.3685764121830136,0.603112840466926,0.0,0.6664430430699049,0.49388209121245835
efficientnet_b0,gt,internal_val,257,155,102,0.603112840466926,0.72,75,1,101,80,0.2818232351306281,-0.4174541411895497,0.603112840466926,0.0,0.6992773763201778,0.46728110599078343
efficientnet_b0,gt,internal_val,257,155,102,0.603112840466926,0.73,73,1,101,82,0.2735264447326704,-0.4699524427150886,0.603112840466926,0.0,0.743478887447759,0.4535244922341697
efficientnet_b0,gt,internal_val,257,155,102,0.603112840466926,0.74,71,1,101,84,0.2651900628554325,-0.5264890751272074,0.603112840466926,0.0,0.79167913798264,0.43970223325062036
efficientnet_b0,gt,internal_val,257,155,102,0.603112840466926,0.75,67,1,101,88,0.2490272373540856,-0.587548638132296,0.603112840466926,0.0,0.8365758754863816,0.41290322580645167
efficientnet_b0,gt,internal_val,257,155,102,0.603112840466926,0.76,63,1,101,92,0.23281452658884563,-0.6536964980544749,0.603112840466926,0.0,0.8865110246433205,0.38602150537634405
efficientnet_b0,gt,internal_val,257,155,102,0.603112840466926,0.77,63,1,101,92,0.23210962612079172,-0.7255963457959739,0.603112840466926,0.0,0.9577059719167655,0.38485273492286115
efficientnet_b0,gt,internal_val,257,155,102,0.603112840466926,0.78,61,0,102,94,0.23735408560311283,-0.8040325433321546,0.603112840466926,0.0,1.0413866289352673,0.3935483870967742
efficientnet_b0,gt,internal_val,257,155,102,0.603112840466926,0.79,57,0,102,98,0.22178988326848248,-0.8899388549194002,0.603112840466926,0.0,1.1117287381878826,0.36774193548387096
efficientnet_b0,gt,internal_val,257,155,102,0.603112840466926,0.8,54,0,102,101,0.21011673151750973,-0.9844357976653703,0.603112840466926,0.0,1.19455252918288,0.34838709677419355
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.01,62,46,0,0,0.5697717919940142,0.5697717919940142,0.5740740740740741,0.0,0.0,0.9925057021831215
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.02,62,46,0,0,0.5653817082388511,0.5653817082388511,0.5740740740740741,0.0,0.0,0.9848584595128375
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.03,62,46,0,0,0.5609011072928599,0.5609011072928599,0.5740740740740741,0.0,0.0,0.9770535417359495
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.04,62,46,0,0,0.5563271604938271,0.5563271604938271,0.5740740740740741,0.0,0.0,0.9690860215053763
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.05,62,46,0,0,0.5516569200779727,0.5516569200779727,0.5740740740740741,0.0,0.0,0.9609507640067912
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.06,62,46,0,0,0.5468873128447597,0.5468873128447597,0.5740740740740741,0.0,0.0,0.9526424159231297
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.07,62,46,0,0,0.5420151334129829,0.5420151334129829,0.5740740740740741,0.0,0.0,0.9441553936871315
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.08,62,46,0,0,0.537037037037037,0.537037037037037,0.5740740740740741,0.0,0.0,0.9354838709677419
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.09,62,46,0,0,0.531949531949532,0.531949531949532,0.5740740740740741,0.0,0.0,0.9266217653314428
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.1,62,46,0,0,0.5267489711934157,0.5267489711934157,0.5740740740740741,0.0,0.0,0.917562724014337
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.11,62,46,0,0,0.521431543903454,0.521431543903454,0.5740740740740741,0.0,0.0,0.908300108735049
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.12,62,46,0,0,0.515993265993266,0.515993265993266,0.5740740740740741,0.0,0.0,0.8988269794721407
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.13,62,46,0,0,0.5104299702000852,0.5104299702000852,0.5740740740740741,0.0,0.0,0.889136077122729
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.14,62,46,0,0,0.5047372954349698,0.5047372954349698,0.5740740740740741,0.0,0.0,0.8792198049512377
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.15,62,46,0,0,0.4989106753812636,0.4989106753812636,0.5740740740740741,0.0,0.0,0.8690702087286527
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.16,62,46,0,0,0.4929453262786596,0.4929453262786596,0.5740740740740741,0.0,0.0,0.858678955453149
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.17,62,46,0,0,0.4868362338241856,0.4868362338241856,0.5740740740740741,0.0,0.0,0.8480373105324523
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.18,62,46,0,0,0.48057813911472447,0.48057813911472447,0.5740740740740741,0.0,0.0,0.8371361132966169
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.19,62,45,1,0,0.47633744855967075,0.4741655235482396,0.5740740740740741,0.0,0.002171925011431153,0.8297491039426523
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.2,62,43,3,0,0.47453703703703703,0.46759259259259256,0.5740740740740741,0.0,0.006944444444444475,0.8266129032258065
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.21,62,43,3,0,0.4682372245663385,0.4608532583216127,0.5740740740740741,0.0,0.007383966244725759,0.8156390363413638
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.22,61,41,5,1,0.45773979107312435,0.45394112060778724,0.5740740740740741,0.0,0.003798670465337106,0.7973531844499585
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.23,61,41,5,1,0.4514189514189514,0.44684944684944683,0.5740740740740741,0.0,0.004569504569504557,0.786342689568496
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.24,61,40,6,1,0.4478557504873294,0.4395711500974659,0.5740740740740741,0.0,0.008284600389863506,0.7801358234295416
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.25,61,40,6,1,0.441358024691358,0.4320987654320988,0.5740740740740741,0.0,0.00925925925925919,0.7688172043010753
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.26,61,39,7,1,0.4379379379379379,0.4244244244244244,0.5740740740740741,0.0,0.013513513513513487,0.7628596338273756
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.27,61,39,7,1,0.43125317097919835,0.4165398274987316,0.5740740740740741,0.0,0.014713343480466767,0.7512152010605391
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.28,61,39,7,1,0.42438271604938266,0.40843621399176955,0.5740740740740741,0.0,0.01594650205761311,0.7392473118279569
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.29,61,37,9,1,0.42488262910798114,0.40010432968179444,0.5740740740740741,0.0,0.0247782994261867,0.74011812812358
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.3,61,36,10,1,0.4219576719576719,0.3915343915343915,0.5740740740740741,0.0,0.030423280423280408,0.7350230414746544
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.31,61,34,12,1,0.4233762748255501,0.38271604938271603,0.5740740740740741,0.0,0.0406602254428341,0.7374941561477325
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.32,61,33,13,1,0.4210239651416121,0.3736383442265795,0.5740740740740741,0.0,0.04738562091503262,0.7333965844402276
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.33,61,33,13,1,0.4143173023770038,0.36428966279712544,0.5740740740740741,0.0,0.05002763957987838,0.7217140105922002
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.34,60,30,16,2,0.4124579124579124,0.35465768799102126,0.5740740740740741,0.0,0.05780022446689115,0.7184750733137829
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.35,60,30,16,2,0.405982905982906,0.34472934472934474,0.5740740740740741,0.0,0.06125356125356124,0.707196029776675
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.36,60,26,20,2,0.42013888888888895,0.3344907407407407,0.5740740740740741,0.0,0.08564814814814825,0.7318548387096775
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.37,60,26,20,2,0.41416813639035865,0.3239271017048795,0.5740740740740741,0.0,0.09024103468547917,0.7214541730670764
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.38,60,22,24,2,0.43070489844683396,0.3130227001194743,0.5740740740740741,0.0,0.11768219832735966,0.7502601456815817
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.39,59,21,25,3,0.42197935640558587,0.3017607771706132,0.5740740740740741,0.0,0.12021857923497264,0.7350608143839238
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.4,59,19,27,3,0.4290123456790123,0.2901234567901234,0.5740740740740741,0.0,0.1388888888888889,0.7473118279569891
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.41,59,17,29,3,0.4369114877589454,0.278091650973007,0.5740740740740741,0.0,0.15881983678593842,0.761071623838163
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.42,59,15,31,3,0.44572158365261816,0.26564495530012777,0.5740740740740741,0.0,0.1800766283524904,0.7764182424916575
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.43,58,14,32,4,0.4392462638076674,0.2527615334632879,0.5740740740740741,0.0,0.1864847303443795,0.7651386530843238
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.44,56,13,33,6,0.42394179894179895,0.23941798941798942,0.5740740740740741,0.0,0.18452380952380953,0.738479262672811
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.45,56,12,34,6,0.4276094276094276,0.22558922558922562,0.5740740740740741,0.0,0.202020202020202,0.7448680351906158
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.46,55,12,34,7,0.4146090534979424,0.2112482853223594,0.5740740740740741,0.0,0.20336076817558302,0.7222222222222223
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.47,55,11,35,7,0.41893780573025863,0.19636617749825303,0.5740740740740741,0.0,0.2225716282320056,0.7297626293365795
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.48,55,10,36,7,0.42378917378917386,0.18091168091168092,0.5740740740740741,0.0,0.24287749287749294,0.7382133995037222
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.49,53,10,36,9,0.4017792302106028,0.1648511256354394,0.5740740740740741,0.0,0.2369281045751634,0.6998734977862113
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.5,53,9,37,9,0.40740740740740744,0.14814814814814814,0.5740740740740741,0.0,0.2592592592592593,0.7096774193548387
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.51,53,8,38,9,0.4136432350718065,0.13076341647770218,0.5740740740740741,0.0,0.2828798185941043,0.7205398288347598
efficientnet_b0,gt,external_test1,108,62,46,0.5740740740740741,0.52,52,8,38,10,0.4012345679012345,0.11265432098765427,0.5740740740740741,0.0,0.28858024691358025,0.6989247311827956
