arch,mask_variant,split,n_total,n_malignant,n_benign,prevalence,threshold_probability_pt,tp,fp,tn,fn,net_benefit_model,net_benefit_treat_all_correct,net_benefit_treat_all_WRONG_flat_at_prevalence,net_benefit_treat_none,delta_nb_model_minus_treat_all,standardised_net_benefit_model
densenet121,gt,train,600,352,248,0.5866666666666667,0.54,331,59,189,21,0.436231884057971,0.10144927536231879,0.5866666666666667,0.0,0.3347826086956522,0.7435770750988142
densenet121,gt,train,600,352,248,0.5866666666666667,0.55,331,58,190,21,0.43351851851851847,0.08148148148148138,0.5866666666666667,0.0,0.3520370370370371,0.7389520202020201
densenet121,gt,train,600,352,248,0.5866666666666667,0.56,329,58,190,23,0.4253030303030303,0.06060606060606055,0.5866666666666667,0.0,0.36469696969696974,0.724948347107438
densenet121,gt,train,600,352,248,0.5866666666666667,0.57,326,57,191,26,0.4174031007751938,0.0387596899224808,0.5866666666666667,0.0,0.378643410852713,0.7114825581395349
densenet121,gt,train,600,352,248,0.5866666666666667,0.58,325,54,194,27,0.41738095238095235,0.015873015873015928,0.5866666666666667,0.0,0.4015079365079364,0.7114448051948051
densenet121,gt,train,600,352,248,0.5866666666666667,0.59,324,53,195,28,0.4128861788617887,-0.008130081300812941,0.5866666666666667,0.0,0.42101626016260163,0.7037832594235034
densenet121,gt,train,600,352,248,0.5866666666666667,0.6,323,52,196,29,0.4083333333333333,-0.033333333333333215,0.5866666666666667,0.0,0.44166666666666654,0.6960227272727273
densenet121,gt,train,600,352,248,0.5866666666666667,0.61,323,51,197,29,0.40538461538461534,-0.05982905982905984,0.5866666666666667,0.0,0.4652136752136752,0.6909965034965034
densenet121,gt,train,600,352,248,0.5866666666666667,0.62,321,51,197,31,0.39631578947368423,-0.08771929824561397,0.5866666666666667,0.0,0.4840350877192982,0.6755382775119617
densenet121,gt,train,600,352,248,0.5866666666666667,0.63,320,50,198,32,0.39144144144144144,-0.11711711711711703,0.5866666666666667,0.0,0.5085585585585585,0.6672297297297297
densenet121,gt,train,600,352,248,0.5866666666666667,0.64,320,49,199,32,0.38814814814814813,-0.14814814814814814,0.5866666666666667,0.0,0.5362962962962963,0.6616161616161615
densenet121,gt,train,600,352,248,0.5866666666666667,0.65,317,48,200,35,0.37976190476190474,-0.1809523809523811,0.5866666666666667,0.0,0.5607142857142858,0.6473214285714285
densenet121,gt,train,600,352,248,0.5866666666666667,0.66,317,45,203,35,0.38274509803921564,-0.21568627450980404,0.5866666666666667,0.0,0.5984313725490197,0.6524064171122994
densenet121,gt,train,600,352,248,0.5866666666666667,0.67,316,43,205,36,0.38116161616161603,-0.2525252525252527,0.5866666666666667,0.0,0.6336868686868687,0.6497073002754818
densenet121,gt,train,600,352,248,0.5866666666666667,0.68,314,43,205,38,0.3710416666666666,-0.29166666666666685,0.5866666666666667,0.0,0.6627083333333335,0.6324573863636362
densenet121,gt,train,600,352,248,0.5866666666666667,0.69,313,42,206,39,0.3658602150537634,-0.33333333333333304,0.5866666666666667,0.0,0.6991935483870965,0.6236253665689149
densenet121,gt,train,600,352,248,0.5866666666666667,0.7,312,41,207,40,0.36055555555555563,-0.37777777777777766,0.5866666666666667,0.0,0.7383333333333333,0.6145833333333335
densenet121,gt,train,600,352,248,0.5866666666666667,0.71,310,40,208,42,0.35344827586206906,-0.4252873563218389,0.5866666666666667,0.0,0.778735632183908,0.6024686520376177
densenet121,gt,train,600,352,248,0.5866666666666667,0.72,308,38,210,44,0.35047619047619044,-0.47619047619047605,0.5866666666666667,0.0,0.8266666666666664,0.5974025974025974
